ID,Source,Severity,Start_Time,End_Time,Start_Lat,Start_Lng,End_Lat,End_Lng,Distance(mi),Description,Street,City,County,State,Zipcode,Country,Timezone,Airport_Code,Weather_Timestamp,Temperature(F),Wind_Chill(F),Humidity(%),Pressure(in),Visibility(mi),Wind_Direction,Wind_Speed(mph),Precipitation(in),Weather_Condition,Amenity,Bump,Crossing,Give_Way,Junction,No_Exit,Railway,Roundabout,Station,Stop,Traffic_Calming,Traffic_Signal,Turning_Loop,Sunrise_Sunset,Civil_Twilight,Nautical_Twilight,Astronomical_Twilight
A-2047758,Source2,2,2019-06-12 10:10:56,2019-06-12 10:55:58,30.641211,-91.153481,,,0.0,Accident on LA-19 Baker-Zachary Hwy at Lower Zachary Rd.,Highway 19,Zachary,East Baton Rouge,LA,70791-4610,US,US/Central,KBTR,2019-06-12 09:53:00,77.0,77.0,62.0,29.92,10.0,NW,5.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day
A-4694324,Source1,2,2022-12-03 23:37:14.000000000,2022-12-04 01:56:53.000000000,38.990562,-77.39907,38.990037,-77.398282,0.056,Incident on FOREST RIDGE DR near PEPPERIDGE PL Drive with caution., Forest Ridge Dr,Sterling,Loudoun,VA,20164-2813,US,US/Eastern,KIAD,2022-12-03 23:52:00,45.0,43.0,48.0,29.91,10.0,W,5.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
A-5006183,Source1,2,2022-08-20 13:13:00.000000000,2022-08-20 15:22:45.000000000,34.66118932,-120.49282193,34.66118932,-120.49244193,0.022,Accident on W Central Ave from Floradale Ave to Western Ave.,Floradale Ave,Lompoc,Santa Barbara,CA,93436,US,US/Pacific,KLPC,2022-08-20 12:56:00,68.0,68.0,73.0,29.79,10.0,W,13.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day
A-4237356,Source1,2,2022-02-21 17:43:04,2022-02-21 19:43:23,43.680592,-92.993317,43.680574,-92.972223,1.054,Incident on I-90 EB near REST AREA Drive with caution.,14th St NW,Austin,Mower,MN,55912,US,US/Central,KAUM,2022-02-21 17:35:00,27.0,15.0,86.0,28.49,10.0,ENE,15.0,0.0,Wintry Mix,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-6690583,Source1,2,2020-12-04 01:46:00,2020-12-04 04:13:09,35.395484,-118.985176,35.395476,-118.985995,0.046,RP ADV THEY LOCATED SUSP VEH OF 20002 - 726 CRAWFORD, River Blvd,Bakersfield,Kern,CA,93305-2649,US,US/Pacific,KBFL,2020-12-04 01:54:00,42.0,42.0,34.0,29.77,10.0,CALM,0.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
A-1101469,Source2,2,2021-03-29 07:03:58,2021-03-29 08:51:01,42.532082,-70.94426700000002,,,0.0,Accident on Forest St at Lowell St.,Lowell St,Peabody,Essex,MA,01960-4275,US,US/Eastern,KBVY,2021-03-29 06:53:00,42.0,35.0,58.0,29.37,10.0,W,13.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day
A-7222249,Source1,2,2020-01-14 16:49:23,2020-01-14 20:49:23,42.42128,-123.11945,42.42128,-123.11945,0.0,At OR-99/Exit 45A - Accident.,I-5 N,Gold Hill,Jackson,OR,97525,US,US/Pacific,KMFR,2020-01-14 16:53:00,35.0,35.0,89.0,28.71,10.0,CALM,0.0,0.0,Light Rain,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-6198239,Source1,2,2021-08-13 16:48:00.000000000,2021-08-13 19:09:09.000000000,30.19101,-85.682508,30.190329,-85.68253,0.047,Incident on CLAREMONT DR near SPRINGHILL CIR Drive with caution., Claremont Dr,Panama City,Bay,FL,32405-3534,US,US/Central,KPAM,2021-08-13 16:56:00,90.0,90.0,55.0,30.03,10.0,SW,12.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-4222549,Source1,2,2022-10-12 13:59:30,2022-10-12 15:33:53,32.868947,-96.804018,32.8695,-96.804014,0.038,Incident on PRESTON RD near NORTHWOOD RD Expect long delays., Preston Rd,Dallas,Dallas,TX,75225,US,US/Central,KDAL,2022-10-12 13:53:00,91.0,91.0,39.0,29.34,10.0,VAR,7.0,0.0,Fair,False,False,False,False,False,False,False,False,True,False,False,False,False,Day,Day,Day,Day
A-5924038,Source1,2,2021-10-21 07:39:30,2021-10-21 09:24:30,39.717217683602726,-86.1246907706922,39.73347768360273,-86.13702077069222,1.301,Incident on I-65 NB near NELSON ST Left shoulder closed.,I-65,Indianapolis,Marion,IN,46237,US,US/Eastern,KIND,2021-10-21 07:47:00,63.0,63.0,78.0,29.06,10.0,SW,10.0,0.0,Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Day,Day,Day
A-925338,Source2,2,2021-08-25 07:10:09,2021-08-25 07:49:00,39.93346,-86.157433,,,2.4800000190734863,Exit ramp from I-465 Westbound at Exit 31 to US-31 Northbound shoulder closed due to accident.,N Meridian St,Indianapolis,Hamilton,IN,46290,US,US/Eastern,KTYQ,2021-08-25 07:15:00,70.0,70.0,97.0,29.11,10.0,S,3.0,0.0,Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Day,Day,Day,Day
A-4908440,Source1,2,2022-02-01 04:13:55,2022-02-01 07:05:30,47.258259057773294,-115.05291581099009,47.283369057773285,-115.07780581099009,2.091,Travelers can expect the following: Crash blockage jackknife with reduced lanes and speed limit 35 mph westbound until further notice. SEMI JACKKNIFED IN THE MEDIAN. PARTIAL BLOCKAGE TO THE PASSING LANE WATCH FOR POSSIBLE DEBRIS ON ROAD AND CREW MEMBERS.,I-90 W,Saint Regis,Mineral,MT,59866,US,US/Mountain,K3TH,2022-02-01 03:53:00,13.0,13.0,84.0,24.08,10.0,VAR,3.0,0.0,Cloudy,False,False,False,False,False,False,False,False,False,False,False,False,False,Night,Night,Night,Night
A-1388988,Source2,2,2020-07-16 11:03:31,2020-07-16 13:17:35,34.72015,-86.616592,,,0.0,Lane blocked due to accident on AL-20 Governors Dr Southbound at 12th St.,Governors Dr,Huntsville,Madison,AL,35805-3542,US,US/Central,KHUA,2020-07-16 10:58:00,85.0,85.0,65.0,29.39,10.0,S,7.0,0.0,Fair,False,False,False,False,False,False,False,False,False,False,False,True,False,Day,Day,Day,Day
